                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.74063,                0.63954,                0.98793,                0.93357,                0.84329,                 0.9106,                0.64065,                 1.1388,                0.78816,                 1.3331,               0.001981,               0.001981,               0.001981
                     83,                0.74779,                0.57915,                0.93017,                0.97411,                0.82415,                0.91425,                0.62772,                 1.1282,                0.78484,                 1.3181,               0.001882,               0.001882,               0.001882
                     84,                0.67538,                0.62876,                0.98176,                0.76886,                0.85005,                0.85675,                 0.6002,                 1.1425,                0.79745,                 1.3331,               0.001783,               0.001783,               0.001783
                     85,                0.62745,                0.65693,                0.94302,                 0.8315,                0.84936,                0.88936,                0.63852,                 1.1462,                0.79767,                 1.3365,               0.001684,               0.001684,               0.001684
                     86,                0.74182,                0.66989,                 1.0145,                 0.8454,                0.84936,                0.92698,                0.67049,                 1.1683,                0.79452,                  1.347,               0.001585,               0.001585,               0.001585
                     87,                0.69303,                0.58737,                0.93525,                0.86317,                0.86218,                0.94941,                0.69078,                  1.139,                0.78101,                 1.3262,               0.001486,               0.001486,               0.001486
                     88,                0.62909,                 0.5865,                0.93817,                0.98669,                0.84088,                0.95072,                0.66155,                 1.1479,                0.77259,                 1.3414,               0.001387,               0.001387,               0.001387
                     89,                0.73199,                0.59166,                0.96019,                0.98711,                0.85778,                0.95091,                0.68584,                 1.1414,                0.73969,                 1.3528,               0.001288,               0.001288,               0.001288
                     90,                 0.6212,                0.70012,                0.92472,                0.95401,                0.86218,                0.95091,                0.66622,                  1.136,                0.74613,                  1.334,               0.001189,               0.001189,               0.001189
                     91,                 0.7195,                0.65326,                0.97995,                0.95131,                0.85466,                0.93901,                0.65606,                 1.1534,                0.74305,                   1.36,                0.00109,                0.00109,                0.00109
                     92,                0.60941,                0.59727,                0.91749,                  0.952,                0.85009,                0.93881,                0.66595,                 1.1535,                0.74975,                 1.3517,               0.000991,               0.000991,               0.000991
                     93,                0.63388,                0.58876,                0.90273,                0.96151,                0.84963,                0.93881,                0.68126,                 1.1558,                0.74191,                 1.3428,               0.000892,               0.000892,               0.000892
                     94,                  0.624,                0.63195,                0.93612,                0.95589,                0.84626,                0.92358,                0.66374,                 1.1438,                0.75261,                 1.3406,               0.000793,               0.000793,               0.000793
                     95,                0.68754,                0.68819,                0.90345,                0.95503,                0.84687,                0.92358,                0.65844,                  1.128,                0.75947,                 1.3289,               0.000694,               0.000694,               0.000694
                     96,                0.66913,                0.64483,                0.93822,                0.95798,                0.84754,                0.92995,                0.67337,                 1.1261,                0.74756,                  1.333,               0.000595,               0.000595,               0.000595
                     97,                0.61837,                0.60386,                0.88935,                0.96026,                0.84577,                 0.9297,                0.65439,                 1.1166,                 0.7525,                 1.3282,               0.000496,               0.000496,               0.000496
                     98,                0.63924,                0.58503,                0.93936,                0.94661,                0.84594,                0.93844,                0.67913,                 1.1058,                0.73882,                 1.3263,               0.000397,               0.000397,               0.000397
                     99,                0.62297,                0.68623,                0.87163,                0.94549,                0.84705,                0.93862,                0.68831,                 1.1013,                0.72835,                 1.3245,               0.000298,               0.000298,               0.000298
